,Journal Name,Article DOI,Open access?,PY
PP,African Journal of Nursing and Midwifery,https://doi.org/10.46882/AJNM/1236,Y,
PP,American Journal of Nursing Research,https://doi.org/10.12691/ajnr-13-4-6,Y,2025
PP,American Journal of Nursing Science,https://doi.org/10.11648/j.ajns.20251404.12,N,2025
PP,American Research Journal of Nursing,https://doi.org/10.25159/2520-5293/17183,Y,2025
PP,Annals of Nursing Research and Practice,https://doi.org/10.26420/annnursrespract.2023.1058,Y,2023
PP,ARC Journal of Nursing and Healthcare,https://doi.org/10.20431/2455-4324.1101001,Y,2025
PP,Archives of Nursing Practice and Care,https://doi.org/10.17352/2581-4265.000058,Y,2022
PP,Asian Journal of Nursing Education and Research,https://doi.org/10.52711/2349-2996.2025.00040,N,2025
PP,"Asian Journal of Pharmacy, Nursing, and Medical Sciences",https://doi.org/10.24203/ncxxjr23,Y,2025
PP,Biomedicine and Nursing,https://doi.org/10.7537/marsbnj110425.01,Y,
PP,Clinical Nursing Studies,https://doi.org/10.5430/cns.v14n1p6,N,2025
PP,COJ Nursing & Healthcare,http://dx.doi.org/10.31031/cojnh.2025.09.000712,Y,2025
PP,Current findings [sic] in Journal of Nursing,https://doi.org/10.54026/CFJN/1001,Y,2020
PP,Diversity & Equality in Health and Care,https://doi.org/10.36648/2049-5471.22.1.57,Y,
PP,EAS Journal of Nursing and Midwifery,https://doi.org/10.36349/easjnm.2026.v08i01.003 ,Y,2026
PP,Global Journal of Nursing,https://doi.org/10.28933/gjn-2021-11-0505,Y,2021
PP,Health Science Journal,https://doi.org/10.36648/1791-809X.18.12.1205,Y,
PP,IJRDO-Journal Of Health Sciences And Nursing,https://doi.org/10.53555/hsn.v12i1.6549 ,Y,2026
PP,International Academic Journal of Advanced Practices in Nursing,https://doi.org/10.47310/iajapn.2025.v06i01.001,Y,2025
PP,International Archives of Nursing and Health Care,http://doi.org/10.23937/2469-5823/1510207,Y,2025
PP,International Archives of Nursing and Health Care,https://doi.org/10.23937/2469-5823/1510203,Y,2024
PP,International Journal for Research in Health Sciences and Nursing,https://doi.org/10.53555/hsn.v11i1.2449,Y,2025
PP,International Journal of Advances in Nursing Management,https://doi.org/10.52711/2454-2652.2025.00046,N,2025
PP,International Journal of Nursing,https://doi.org/10.15640/ijn.v12p1,Y,2025
PP,International Journal of Nursing and Medical Investigation,https://doi.org/10.31690/ijnmi.2025.v010i04.007,Y,2025
PP,"International Journal of Nursing, Midwife and Health Related Cases",https://doi.org/10.37745/ijnmh.15/vol12n1132,Y,2025
PP,International Journal of Research in Medical Surgical Nursing,https://doi.org/10.46610/IJRMSN.2023.v04i02.001,N,2023
PP,Iris Journal of Nursing & Care,http://dx.doi.org/10.33552/IJNC.2025.05.000619,Y,2025
PP,Journal of Advanced Practices in Nursing,https://doi.org/10.37421/2573-0347.2024.9.365,Y,
PP,Journal of Community and Public Health Nursing,https://doi.org/10.4172/2471-9846.1000207,Y,2018
PP,Journal of Community and Social Health Nursing,https://doi.org/10.46610/JCSHN.2023.v05i02.001 ,N,2023
PP,"Journal of Health, Medicine, and Nursing",https://doi.org/10.7176/JHMN/119-08,Y,2025
PP,Journal of Healthcare and Nursing Research,https://doi.org/10.36266/JHNR/101,Y,2019
PP,Journal of Healthcare Communications,https://doi.org/10.36846/2472-1654-10.1.64,Y,
PP,Journal of Intensive and Critical Care,https://doi.org/10.35248/2471-8505-10.1.01,Y,
PP,"Journal of Midwifery, Women Health And Gynaecological Nursing",https://doi.org/10.46610/JMWHGN.2026.v08i01.001,N,2026
PP,Journal of Nurses Voice and Impact,https://doi.org/10.46610/JNVI.2025.v07i03.003,N,2025
PP,Journal of Nurses Voice and Impact,https://doi.org/10.46610/JNVI.2026.v08i01.001,N,2026
PP,Journal of Nursing & Care,https://doi.org/10.37421/2167-1168.2025.14.686,Y,
PP,Journal of Nursing and Practice,http://doi.org/10.36959/545/430,Y,2025
PP,Journal of Nursing and Women's Health,https://doi.org/10.29011/2577-1450.1000202,Y,2024
PP,Journal of Nursing Care & Reports,https://doi.org/10.47485/3065-7636.1043,Y,2025
PP,Journal of Nursing Care & Reports,https://doi.org/10.47485/3065-7636.1043,Y,2025
PP,Journal of Nursing Education and Practice,https://doi.org/10.5430/jnep.v15n6p1,Y,2025
PP,Journal of Patient Care,https://doi.org/10.35248/2573-4598.23.9.248,Y,2023
PP,Journal of Practical and Professional Nursing,https://doi.org/10.24966/PPN-5681/100061,Y,2025
PP,Journal of Psychiatric Nursing,https://doi.org/10.14744/phd.2025.92603,Y,2025
PP,Journal of Research in Nursing and Midwifery,https://doi.org/10.14303/2315-568X.2025.66,Y,
PP,Madridge Journal of Nursing,https://doi.org/10.18689/mjn-1000134,Y,2022
PP,Nursing & Healthcare International Journal,https://doi.org/10.23880/nhij-16000109,Y,2017
PP,Nursing and Health,https://doi.org/10.13189/nh.2025.100101,Y,2025
PP,Open Access of Journal of Nursing,https://doi.org/10.22259/2639-1783.0801004,Y,2025
PP,Open Journal of Nursing,https://doi.org/10.4236/ojn.2026.162009,Y,2026
PP,Quality in Primary Care,https://doi.org/10.36648/1479-1064.32.4.20,Y,
PP,Quarterly Journal of Women's Health and Nursing,https://doi.org/10.3389/fpsyg.2018.00348,Y,2018
PP,Saudi Journal of Nursing and Healthcare (SJNHC),https://doi.org/10.36348/sijcms.2026.v09i01.005,Y,2026
PP,SOJ Nursing & Health Care,http://dx.doi.org/10.15226/2471-6529/7/1/00151,Y,2025
PP,SSRG International Journal of Nursing and Health Science,https://doi.org/10.14445/24547484/IJNHS-V11I3P101,Y,2025
PP,The Open Nursing Journal,http://dx.doi.org/10.2174/0118744346378124250529095629,Y,2025
PP,World Journal of Nursing and Practice,http://dx.doi.org/10.51521/WJNP.2025.11101,Y,2025
INANE,Advanced Emergency Nursing Journal,https://doi.org/10.1097/TME.0000000000000370,Y,2021
INANE,Advances in Neonatal Care,https://doi.org/10.1097/ANC.0000000000001344,Y,2026
INANE,American Journal of Critical Care,https://doi.org/10.4037/ajcc2026265,N,2026
INANE,American Nurse Journal,https://doi.org/10.51256/ANJ022628,N,2026
INANE,Anesthesia eJournal,https://doi.org/10.18776/95jvxc48,Y,2022
INANE,Australasian Emergency Care,https://doi.org/10.1016/j.auec.2025.06.010,Y,2025
INANE,Australasian Journal of Neuroscience,https://doi.org/10.2478/ajon-2025-0012,Y,2025
INANE,Australian Critical Care,https://doi.org/10.1016/j.aucc.2025.101484,Y,2025
INANE,Cancer Nursing,https://doi.org/10.1097/NCC.0000000000001549,Y,2025
INANE,Central European Journal of Nursing and Midwifery,https://doi.org/10.15452/cejnm.2025.16.0020,Y,2025
INANE,Clinical Journal of Oncology Nursing,https://doi.org/10.1188/26.CJON.41-46,N,2026
INANE,Clinical Nurse Specialist,https://doi.org/10.1097/NUR.0000000000000940,N,2025
INANE,Comprehensive Child and Adolescent Nursing,https://doi.org/10.1080/24694193.2025.2524671,Y,2025
INANE,Critical Care Nurse,https://doi.org/10.4037/ccn2026884,N,2026
INANE,Critical Care Nursing Clinics of North America,https://doi.org/10.1016/j.ccell.2011.06.002,N,2011
INANE,Evidence-Based Nursing,https://doi.org/10.1136/ebnurs-2025-104480,N,2026
INANE,Gastroenterology Nursing,https://doi.org/10.1097/SGA.0000000000000919,N,2026
INANE,Health Care Management Review,https://doi.org/10.1097/HMR.0000000000000458,N,2025
INANE,Health Environments Research & Design,https://doi.org/10.1177/19375867251406198,N,2026
INANE,International Journal of Africa Nursing Sciences,https://doi.org/10.1016/j.ijans.2025.100917,Y,2025
INANE,International Journal of Evidence-Based Healthcare,https://doi.org/10.1097/XEB.0000000000000486,N,2024
INANE,International Journal of Orthopaedic and Trauma Nursing,https://doi.org/10.1016/j.ijotn.2026.101257,Y,2026
